Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2016/17

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Gotland;0980;Gotlands län;09;Kommunal;Samtliga;498;80,5;79,7;78,1;78,3;19,5;
Gotland;0980;Gotlands län;09;Enskild;Samtliga;94;94,7;92,6;91,5;90,4;..;
Grums;1764;Värmlands län;17;Samtliga;Samtliga;84;72,6;71,4;65,5;67,9;27,4;
Grums;1764;Värmlands län;17;Kommunal;Samtliga;84;72,6;71,4;65,5;67,9;27,4;
Grästorp;1444;Västra Götalands län;14;Samtliga;Samtliga;84;79,8;79,8;79,8;79,8;20,2;
Grästorp;1444;Västra Götalands län;14;Kommunal;Samtliga;84;79,8;79,8;79,8;79,8;20,2;
Gullspång;1447;Västra Götalands län;14;Samtliga;Samtliga;66;66,7;66,7;66,7;62,1;33,3;
Gullspång;1447;Västra Götalands län;14;Kommunal;Samtliga;66;66,7;66,7;66,7;62,1;33,3;
Gällivare;2523;Norrbottens län;25;Samtliga;Samtliga;149;83,2;81,2;80,5;81,2;16,8;
Gällivare;2523;Norrbottens län;25;Kommunal;Samtliga;129;80,6;78,3;77,5;78,3;19,4;
Gällivare;2523;Norrbottens län;25;Enskild;Samtliga;20;100,0;100,0;100,0;100,0;.;
Gävle;2180;Gävleborgs län;21;Samtliga;Samtliga;1 156;84,0;82,5;80,9;78,3;16,0;
Gävle;2180;Gävleborgs län;21;Kommunal;Samtliga;734;78,7;77,5;75,7;74,4;21,3;
Gävle;2180;Gävleborgs län;21;Enskild;Samtliga;422;93,1;91,2;89,8;85,1;6,9;
Göteborg;1480;Västra Götalands län;14;Samtliga;Samtliga;5 376;77,7;77,0;75,1;74,2;22,3;
Göteborg;1480;Västra Götalands län;14;Kommunal;Samtliga;3 540;71,6;70,8;69,0;68,0;28,4;
Göteborg;1480;Västra Götalands län;14;Enskild;Samtliga;1 836;89,7;89,1;87,1;86,6;10,3;
Götene;1471;Västra Götalands län;14;Samtliga;Samtliga;154;70,8;70,8;69,5;66,9;29,2;
Götene;1471;Västra Götalands län;14;Kommunal;Samtliga;154;70,8;70,8;69,5;66,9;29,2;
Habo;0643;Jönköpings län;06;Samtliga;Samtliga;118;85,6;84,7;84,7;83,9;14,4;
Habo;0643;Jönköpings län;06;Kommunal;Samtliga;118;85,6;84,7;84,7;83,9;14,4;
Hagfors;1783;Värmlands län;17;Samtliga;Samtliga;129;64,3;64,3;60,5;58,9;35,7;
Hagfors;1783;Värmlands län;17;Kommunal;Samtliga;129;64,3;64,3;60,5;58,9;35,7;
Hallsberg;1861;Örebro län;18;Samtliga;Samtliga;140;79,3;75,7;73,6;75,0;20,7;
Hallsberg;1861;Örebro län;18;Kommunal;Samtliga;140;79,3;75,7;73,6;75,0;20,7;
Hallstahammar;1961;Västmanlands län;19;Samtliga;Samtliga;174;70,1;69,5;66,1;65,5;29,9;
Hallstahammar;1961;Västmanlands län;19;Kommunal;Samtliga;174;70,1;69,5;66,1;65,5;29,9;
Halmstad;1380;Hallands län;13;Samtliga;Samtliga;958;84,2;83,5;81,5;81,2;15,8;
Halmstad;1380;Hallands län;13;Kommunal;Samtliga;809;82,2;81,3;79,6;79,0;17,8;
Halmstad;1380;Hallands län;13;Enskild;Samtliga;149;95,3;95,3;91,9;93,3;..;
