"Antal personer efter region, utländsk/svensk bakgrund och år"

"region","utländsk/svensk bakgrund","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0584 Vadstena","svensk bakgrund",7159,7111,7086,7047,7004,6974,6904,6842,6806,6715,6733,6738,6732,6731,6620,6640,6703,6649,6650
"0586 Mjölby","utländsk bakgrund",1689,1724,1791,1797,1883,1992,2052,2168,2261,2396,2506,2605,2770,2977,3253,3591,3835,4088,4230
"0586 Mjölby","svensk bakgrund",23464,23467,23535,23461,23465,23543,23602,23602,23595,23677,23689,23708,23658,23625,23455,23428,23538,23670,23730
"0604 Aneby","utländsk bakgrund",418,429,452,458,487,530,603,581,592,638,650,651,719,819,897,1002,1042,1071,1086
"0604 Aneby","svensk bakgrund",6213,6237,6172,6118,6064,5976,5920,5865,5801,5777,5757,5724,5707,5718,5706,5774,5790,5777,5735
"0617 Gnosjö","utländsk bakgrund",2400,2382,2342,2308,2309,2414,2491,2466,2520,2511,2559,2690,2851,2946,3062,3190,3262,3271,3266
"0617 Gnosjö","svensk bakgrund",7597,7544,7468,7445,7289,7243,7167,7070,7026,6889,6795,6716,6658,6568,6553,6543,6514,6441,6348
"0642 Mullsjö","utländsk bakgrund",637,611,610,612,616,646,662,674,691,697,697,703,746,799,850,949,954,960,1021
"0642 Mullsjö","svensk bakgrund",6487,6518,6491,6475,6459,6400,6424,6353,6342,6337,6373,6336,6363,6358,6376,6379,6370,6330,6364
"0643 Habo","utländsk bakgrund",616,601,613,617,654,695,737,785,782,804,819,845,877,908,995,1107,1200,1271,1281
"0643 Habo","svensk bakgrund",8968,8967,9145,9225,9468,9680,9789,9889,9959,10024,10060,10130,10233,10406,10591,10738,10940,11162,11308
"0662 Gislaved","utländsk bakgrund",6142,6229,6205,6161,6257,6379,6571,6641,6687,6673,6761,6964,7148,7851,8419,8861,9298,9585,9600
"0662 Gislaved","svensk bakgrund",23834,23727,23545,23328,23070,22951,22809,22571,22424,22195,21971,21749,21589,21421,21059,20768,20559,20378,20035
"0665 Vaggeryd","utländsk bakgrund",1743,1790,1821,1879,2026,2129,2219,2224,2231,2305,2340,2388,2447,2577,2780,2912,3010,3193,3355
"0665 Vaggeryd","svensk bakgrund",10860,10866,10839,10786,10790,10810,10762,10735,10760,10855,10808,10821,10782,10795,10864,10928,10970,11082,11177
"0680 Jönköping","utländsk bakgrund",17009,17527,17927,18516,19545,20713,21834,22668,23368,23876,24588,25584,26886,27842,29555,31402,33123,34841,35921
"0680 Jönköping","svensk bakgrund",101572,101813,102000,102449,102649,102996,103320,103663,104014,104429,104890,105214,105254,105468,105742,106079,106099,106240,106506
"0682 Nässjö","utländsk bakgrund",2591,2704,2816,2871,3110,3415,3679,3853,3973,4202,4424,4820,5423,6078,6604,7084,7518,7731,7904
